Team,ID,Region
Hanwha Life eSports,1769,KR
HEET,1889,BE
HELL PIGS,1857,PCS
Hell Zerolag Esports,1962,GR
Heretics Academy,1913,ES
HLE Challengers,1926,KR
Illuminar Gaming,1762,PL
Immortals,1800,NA
Immortals Challengers,1810,NA
Impunity,1854,PCS
Infinity eSports,1871,LAT
Inside Games,1987,CZ
INTZ Academy,1950,BR
INTZ e-Sports,1825,BR
Invictus Gaming,1778,CN
Iron Wolves,1978,PL
Istanbul Wildcats,1846,TR
Isurus,1872,LAT
IZI Dream,2017,FR
J Team,1855,PCS
JD Gaming,1776,CN
Joblife,2026,FR
KaBuM! Academy,1951,BR
KaBuM! e-Sports,1826,BR
Kanga Esports,2002,OCE
Karmine Corp,1881,FR
Kaufland Hangry Knights,2089,DE
KDF Challengers,1922,KR
Keypulse Esports,1936,PT
KIT SC SmartWe,2090,DE
Klanik Esport,2025,FR
KOI,1819,EUW
KOI Academy,1914,ES
Komil & Friends,1960,PL
KRC Genk Esports,1888,BE
KT Challengers,1927,KR
KT Rolster,1770,KR
Kwangdong Freecs,1764,KR
LDLC OL,1882,FR
Levante UD Esports,2074,ES
LGD Gaming,1779,CN
Liberty,1831,BR
Liberty Academy,1956,BR
Liiv SANDBOX,1771,KR
Lille Esport,2024,FR
LNG Esports,1786,CN
Los Grandes,1823,BR
Los Grandes Academy,1948,BR
LOUD,1827,BR
LOUD Academy,1952,BR
LSB Challengers,1928,KR
Macko Esports,1898,IT
MAD Lions,1817,EUW
MAGAZA,1968,RS
MAMMOTH,2003,OCE
Maturalni Forsaken,1763,PL
mCon LG UltraGear,1894,BE
MGN Box Esports,2066,VN
MOUZ,1908,DE
Movistar R7,1874,LAT
Movistar Riders,1917,ES
MS Company,2034,FR
mYinsanity,2091,DE
NASR eSports Turkey,1847,TR
Nativz,1939,EUW
Nigma Galaxy Male,2079,AL
Ninjas in Pyjamas,1780,CN
NNO Prime,1909,DE
Nongshim RedForce,1772,KR
Nord Esports,1938,EUW
Northern Lions,1887,BE
NS Challengers,1929,KR
Odivelas Sports Club,1931,PT
OMG,1787,CN
Orbit Anonymo,1977,PL
paiN Academy,1953,BR
paiN Gaming,1828,BR
Panathinaikos AC eSports,1964,GR
Papara SuperMassive,1848,TR
Partizan Esports,2064,RS
PEACE,2005,OCE
Pentagon Rejects,2031,GR
Pentanet.GG,2006,OCE
Project Conquerors,2022,FR
PSG Talon,1859,PCS
RA AD,2082,AL
Ramboot Club,2060,ES
Rare Atom,1784,CN
Rebels Gaming,1915,ES
RED Academy,1954,BR
RED Canids,1829,BR
Riddle Esports,1940,EUW
RNL ROAR,2088,DE
Royal Never Give Up,1782,CN
Ruddy Esports,1942,EUW
Saigon Buffalo,1864,VN
SBTC Esports,1865,VN
SEM9 WPE,1852,PCS
Sengoku Gaming,1838,JP
seQura ZEST,2058,ES
SINNERS Esports,1988,CZ
Six Karma,1875,LAT
SK Gaming,1820,EUW
SK Gaming Prime,1910,DE
SoftBank Hawks Gaming,1836,JP
Solary,1884,FR
Sprout,2092,DE
T1,1791,KR
T1 Challengers,1773,KR
Team 7AM,1891,BE
Team Aze,1873,LAT
Team BDS,2033,EUW
Team BDS Academy,1878,FR
Team Bliss,2001,OCE
Team du Sud,2020,FR
Team ESCA Gaming,1959,PL
Team Flash,2065,VN
Team GO,1879,FR
Team Heretics,1818,EUW
Team Liquid,1801,NA
Team Liquid Challengers,1811,NA
Team Liquid First,2046,NA
Team Phantasma,1965,GR
Team Sampi,1996,CZ
Team Secret,1867,VN
Team Vitality,1821,EUW
Team WE,1781,CN
Team Whales,2067,VN
TeamOrangeGaming,2093,DE
The Agency,2063,BE
The Kings,1870,LAT
Top Esports,1775,CN
Triple Esports,2083,AL
TSM,1802,NA
TSM Challengers,1812,NA
TT,1790,CN
UCAM Tokiers,1920,ES
Ultra Prime,1789,CN
Unicorns Of Love Sexy Edition,1911,DE
UniQ Esports Club,1945,EUW
V3 Esports,1839,JP
Valiance,1975,RS
Vanir,2009,EUW
Verdant,1944,EUW
Villarreal QLASH,2059,ES
Vitality.Bee,1886,FR
ViV Esport,2019,FR
Vivo Keyd Stars,1822,BR
Vivo Keyd Stars Academy,1947,BR
Webidoo Gaming,1901,IT
Weibo Gaming,1774,CN
WeSports,2094,DE
White Dragons,1937,PT
Wild Panthers Esports,2075,GR
Wildcard Gaming,2051,NA
Wizards Club,2061,ES
WLGaming Esports,1963,GR
Xoldiers,2055,ES
XtremeDominators,2084,RS
ZennIT Gaming,1892,BE
Zero Tenacity,1969,PL
ZETA,2062,ES
